GlobalId,Name,Description,ObjectType,IfcType,category
235202,A1034_005_Elevator Pit Wall-ID,,,IfcWall,IfcWall
235242,A1034_005_Elevator Pit Wall-ID,,,IfcWall,IfcWall
235222,A1034_005_Elevator Pit Wall-ID,,,IfcWall,IfcWall
235262,A1034_005_Elevator Pit Wall-ID,,,IfcWall,IfcWall
237314,B1011_027_CIP RC Stair Core Wall-ID,,,IfcWall,IfcWall
237334,B1011_027_CIP RC Stair Core Wall-ID,,,IfcWall,IfcWall
237355,B1011_027_CIP RC Stair Core Wall-ID,,,IfcWall,IfcWall
237375,B1011_027_CIP RC Stair Core Wall-ID,,,IfcWall,IfcWall
237395,B1011_027_CIP RC Stair Core Wall-ID,,,IfcWall,IfcWall
237416,B1011_027_CIP RC Stair Core Wall-ID,,,IfcWall,IfcWall
269946,B2011_150_Rainscreen (Wall)-ID,,,IfcWall,IfcWall
270700,B2011_150_Rainscreen (Wall)-ID,,,IfcWall,IfcWall
270530,B2011_150_Rainscreen (Wall)-ID,,,IfcWall,IfcWall
271832,B2011_150_Rainscreen (Wall)-ID,,,IfcWall,IfcWall
239199,B1012_HSS-C.060_HSS Steel Column-12x12x3/8,,,IfcColumn,IfcColumn
239233,B1012_HSS-C.060_HSS Steel Column-12x12x3/8,,,IfcColumn,IfcColumn
239289,B1012_HSS-C.060_HSS Steel Column-12x12x3/8,,,IfcColumn,IfcColumn
239311,B1012_HSS-C.060_HSS Steel Column-12x12x3/8,,,IfcColumn,IfcColumn
239334,B1012_HSS-C.060_HSS Steel Column-12x12x3/8,,,IfcColumn,IfcColumn
239323,B1012_HSS-C.060_HSS Steel Column-12x12x3/8,,,IfcColumn,IfcColumn
239511,B1012_HSS-C.060_HSS Steel Column-12x12x3/8,,,IfcColumn,IfcColumn
239557,B1012_HSS-C.060_HSS Steel Column-12x12x3/8,,,IfcColumn,IfcColumn
239613,B1012_HSS-C.060_HSS Steel Column-12x12x3/8,,,IfcColumn,IfcColumn
239567,B1012_HSS-C.060_HSS Steel Column-12x12x3/8,,,IfcColumn,IfcColumn
239647,B1012_HSS-C.060_HSS Steel Column-12x12x3/8,,,IfcColumn,IfcColumn
239635,B1012_HSS-C.060_HSS Steel Column-12x12x3/8,,,IfcColumn,IfcColumn
239623,B1012_HSS-C.060_HSS Steel Column-12x12x3/8,,,IfcColumn,IfcColumn
239669,B1012_HSS-C.060_HSS Steel Column-12x12x3/8,,,IfcColumn,IfcColumn
239713,B1012_HSS-C.060_HSS Steel Column-12x12x3/8,,,IfcColumn,IfcColumn
239737,B1012_HSS-C.060_HSS Steel Column-12x12x3/8,,,IfcColumn,IfcColumn
239759,B1012_HSS-C.060_HSS Steel Column-12x12x3/8,,,IfcColumn,IfcColumn
239803,B1012_HSS-C.060_HSS Steel Column-12x12x3/8,,,IfcColumn,IfcColumn
239781,B1012_HSS-C.060_HSS Steel Column-12x12x3/8,,,IfcColumn,IfcColumn
239827,B1012_HSS-C.060_HSS Steel Column-12x12x3/8,,,IfcColumn,IfcColumn
239849,B1012_HSS-C.060_HSS Steel Column-12x12x3/8,,,IfcColumn,IfcColumn
