Tag-Uniformat 1,Tag-Uniformat 2,Tag-Uniformat 3,Tag-Uniformat 4,Tag-CSI 1,Tag-CSI 2,Tag-Cost Type,task_code,Description,Unit,Units,Consumption,Waste Factor,Unit Cost,Source Qty
G - BUILDING SITEWORK  ,G10 - Site Preparation  ,G1030 - Site Earthwork  ,G1031 - Site Grading Excavation  ,31 - EARTHWORK,31 23 00 - Excavation and Fill        ,Labor,LEXC001,Excavation Labor,HR,HR/CY,0.096,1.0,0.0,Parent.Quantity
G - BUILDING SITEWORK  ,G10 - Site Preparation  ,G1030 - Site Earthwork  ,G1031 - Site Grading Excavation  ,31 - EARTHWORK,31 23 00 - Excavation and Fill        ,Machinery,PEXC0103,Excavator,HR,HR/CY,0.096,1.0,0.0,Parent.Quantity
G - BUILDING SITEWORK  ,G10 - Site Preparation  ,G1030 - Site Earthwork  ,G1031 - Site Grading Excavation  ,31 - EARTHWORK,31 23 20 - Excavation and Fill        ,Labor,LEXC001,Excavation Labor,HR,HR/CY,0.026,1.0,0.0,Parent.Quantity
G - BUILDING SITEWORK  ,G10 - Site Preparation  ,G1030 - Site Earthwork  ,G1031 - Site Grading Excavation  ,31 - EARTHWORK,31 23 20 - Excavation and Fill        ,Machinery,PEXC0103,Excavator,HR,HR/CY,0.026,1.0,0.0,Parent.Quantity
G - BUILDING SITEWORK  ,G10 - Site Preparation  ,G1030 - Site Earthwork  ,G1031 - Site Grading Excavation  ,31 - EARTHWORK,31 23 20 - Excavation and Fill        ,Material,M31.23.20.100,Imported Fill Material,HR,HR/CY,0.026,1.0,0.0,Parent.Quantity
G - BUILDING SITEWORK  ,G10 - Site Preparation  ,G1030 - Site Earthwork  ,G1031 - Site Grading Excavation  ,31 - EARTHWORK,31 23 30 - Excavation and Fill        ,Labor,LEXC001,Excavation Labor,HR,HR/CY,0.07,1.0,0.0,Parent.Quantity
A - SUBSTRUCTURE   ,A10 - Foundations   ,A1010 - Standard   ,A1012 - Column Foundations & Pile Caps,31 - EARTHWORK,31 23 00 - Excavation and Fill        ,Labor,LEXC001,Excavation Labor,HR,HR/CY,0.2,1.0,0.0,Parent.Quantity
A - SUBSTRUCTURE   ,A10 - Foundations   ,A1010 - Standard   ,A1012 - Column Foundations & Pile Caps,31 - EARTHWORK,31 23 00 - Excavation and Fill        ,Machinery,PEXC0101,JCB 3C,HR,HR/CY,0.4,1.0,0.0,Parent.Quantity
A - SUBSTRUCTURE   ,A10 - Foundations   ,A1010 - Standard   ,A1012 - Column Foundations & Pile Caps,31 - EARTHWORK,31 23 00 - Excavation and Fill        ,Labor,LEXC001,Excavation Labor,HR,HR/CY,0.2,1.0,0.0,Parent.Quantity
A - SUBSTRUCTURE   ,A10 - Foundations   ,A1010 - Standard   ,A1012 - Column Foundations & Pile Caps,31 - EARTHWORK,31 23 00 - Excavation and Fill        ,Machinery,PEXC0101,JCB 3C,HR,HR/CY,0.4,1.0,0.0,Parent.Quantity
A - SUBSTRUCTURE   ,A10 - Foundations   ,A1010 - Standard   ,A1012 - Column Foundations & Pile Caps,31 - EARTHWORK,31 23 20 - Excavation and Fill        ,Labor,LEXC001,Excavation Labor,HR,HR/CY,0.64,1.0,0.0,Parent.Quantity
A - SUBSTRUCTURE   ,A10 - Foundations   ,A1010 - Standard   ,A1012 - Column Foundations & Pile Caps,31 - EARTHWORK,31 23 20 - Excavation and Fill        ,Machinery,PEXC0101,JCB 3C,HR,HR/CY,0.32,1.0,0.0,Parent.Quantity
A - SUBSTRUCTURE   ,A10 - Foundations   ,A1010 - Standard   ,A1012 - Column Foundations & Pile Caps,31 - EARTHWORK,31 23 30 - Excavation and Fill        ,Labor,LEXC001,Excavation Labor,HR,HR/CY,0.07,1.0,0.0,Parent.Quantity
A - SUBSTRUCTURE   ,A10 - Foundations   ,A1010 - Standard   ,A1012 - Column Foundations & Pile Caps,03 - CONCRETE          ,03 62 00 - Non-Shrink Grouting         ,Labor,LCON001,Concrete Pourer,HR,HR/EA,0.75,1.0,0.0,Parent.Quantity
A - SUBSTRUCTURE   ,A10 - Foundations   ,A1010 - Standard   ,A1012 - Column Foundations & Pile Caps,03 - CONCRETE          ,03 62 00 - Non-Shrink Grouting         ,Labor,LCON001,Concrete Pourer,HR,HR/EA,0.33,1.0,0.0,Parent.Quantity
A - SUBSTRUCTURE   ,A10 - Foundations   ,A1010 - Standard   ,A1012 - Column Foundations & Pile Caps,03 - CONCRETE          ,03 05 00 - Common Work Results for Concrete      ,Labor,LCON006,Concrete Misc. Labor,HR,HR/LF,0.02,1.0,0.0,Parent.Quantity
A - SUBSTRUCTURE   ,A10 - Foundations   ,A1010 - Standard   ,A1012 - Column Foundations & Pile Caps,03 - CONCRETE          ,03 05 10 - Common Work Results for Concrete      ,Labor,LCON006,Concrete Misc. Labor,HR,HR/SF,0.005,1.0,0.0,Parent.Quantity
A - SUBSTRUCTURE   ,A10 - Foundations   ,A1010 - Standard   ,A1012 - Column Foundations & Pile Caps,03 - CONCRETE          ,03 11 00 - Concrete Forming         ,Labor,LCON003,Formwork Carpenter,HR,HR/SF,0.14,1.0,0.0,Parent.Quantity
A - SUBSTRUCTURE   ,A10 - Foundations   ,A1010 - Standard   ,A1012 - Column Foundations & Pile Caps,03 - CONCRETE          ,03 11 00 - Concrete Forming         ,Labor,LCON003,Formwork Carpenter,HR,HR/SF,0.023,1.0,0.0,Parent.Quantity
A - SUBSTRUCTURE   ,A10 - Foundations   ,A1010 - Standard   ,A1012 - Column Foundations & Pile Caps,03 - CONCRETE          ,03 21 00 - Reinforcing Steel         ,Labor,LCON004,Rodman,HR,HR/TON,16.0,1.0,0.0,Parent.Quantity
A - SUBSTRUCTURE   ,A10 - Foundations   ,A1010 - Standard   ,A1012 - Column Foundations & Pile Caps,03 - CONCRETE          ,03 31 00 - Structural Concrete         ,Labor,LCON001,Concrete Pourer,HR,HR/CY,0.6,1.0,0.0,Parent.Quantity
A - SUBSTRUCTURE   ,A10 - Foundations   ,A1010 - Standard   ,A1012 - Column Foundations & Pile Caps,03 - CONCRETE          ,03 35 00 - Concrete Finishing         ,Labor,LCON001,Concrete Pourer,HR,HR/SF,0.005,1.0,0.0,Parent.Quantity
A - SUBSTRUCTURE   ,A10 - Foundations   ,A1010 - Standard   ,A1012 - Column Foundations & Pile Caps,03 - CONCRETE          ,03 11 00 - Concrete Forming         ,Labor,LCON003,Formwork Carpenter,HR,HR/SF,0.14,1.0,0.0,Parent.Quantity
A - SUBSTRUCTURE   ,A10 - Foundations   ,A1010 - Standard   ,A1012 - Column Foundations & Pile Caps,03 - CONCRETE          ,03 11 00 - Concrete Forming         ,Labor,LCON003,Formwork Carpenter,HR,HR/SF,0.023,1.0,0.0,Parent.Quantity
A - SUBSTRUCTURE   ,A10 - Foundations   ,A1010 - Standard   ,A1012 - Column Foundations & Pile Caps,03 - CONCRETE          ,03 21 00 - Reinforcing Steel         ,Labor,LCON004,Rodman,HR,HR/TON,16.0,1.0,0.0,Parent.Quantity
